id,nombre_restaurante,sub_nicho,ciudad,zona_barrio,instagram_handle,telefono,web_actual,decisor_nombre,detalle_personalizable,fecha_prospectado,fecha_dm_1,fecha_dm_2,fecha_dm_3,respondio,estado,interes_nivel,fecha_llamada,opcion_elegida,monto_facturado,fecha_pago,notas
1,Ejemplo La Trattoria,italiano,Torrejón de Ardoz,Casco antiguo,@latrattoria_torrejon,+34916123456,no-tiene,Mario,foto del tagliatelle al ragu se ve increible,2026-05-25,,,,,prospectado,,,,,,
2,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
3,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
4,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
5,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
6,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
7,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
8,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
9,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
10,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
11,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
12,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
13,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
14,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
15,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
16,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
17,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
18,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
19,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
20,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
21,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
22,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
23,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
24,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
25,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
26,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
27,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
28,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
29,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
30,,,Torrejón de Ardoz,,,,,,,,,,,,prospectado,,,,,,
